Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
272	429	1	0	10366.9	11873.4	15.5	2410	287.53	0.95	126.2	1	1
273	429	1	0	3668.8	9072.1	10.2	3212	219.93	1.01	122.9	1	1
274	430	1	0	22797.5	22892.4	16.9	2894	242.96	0.90	149.5	1	1
275	430	1	0	14050.4	7317.0	13.7	4337	202.67	0.85	171.4	1	1
276	431	1	0	4398.8	10479.3	13.3	2890	175.60	0.94	140.5	1	1
277	432	1	0	6864.7	16795.9	19.3	1936	212.75	0.91	135.3	1	1
278	432	1	0	19921.6	1827.6	15.1	1720	218.25	0.78	113.7	1	1
279	433	1	0	10551.7	11578.3	15.0	2995	278.18	1.24	135.7	1	1
280	433	1	0	19900.4	1807.5	10.8	2307	132.81	0.88	118.2	1	1
281	434	1	0	19888.5	1822.4	12.6	2114	179.72	0.95	116.7	1	1
282	435	1	0	19932.5	7212.1	16.3	1549	217.09	1.05	109.1	1	1
283	435	1	0	24031.7	22322.8	11.7	3877	316.44	1.19	133.5	1	1
284	435	1	0	19041.2	24650.6	8.8	5572	316.84	0.91	140.3	1	1
285	436	1	0	11573.7	13405.9	12.8	2694	220.16	0.84	127.0	1	1
286	436	1	0	20535.0	26065.2	10.1	2881	101.11	0.76	131.6	1	1
287	436	1	0	4387.2	26741.7	10.0	3566	208.23	0.93	130.1	1	1
288	437	1	0	20227.5	26921.0	14.5	3367	233.82	0.83	150.6	1	1
289	438	1	0	31004.6	16765.1	17.5	2210	259.65	1.01	131.5	1	1
290	439	1	0	17385.1	5609.4	8.5	3966	193.70	0.94	127.0	1	1
291	440	1	0	9289.2	28283.9	15.6	1966	207.57	0.97	121.7	1	1
292	440	1	0	17386.9	5681.3	11.6	3358	262.49	0.99	130.8	1	1
293	440	1	0	22587.9	11624.8	7.9	3305	171.53	0.80	114.8	1	1
294	441	1	0	15042.8	20719.5	22.5	1266	307.69	0.98	109.6	1	1
295	441	1	0	20084.4	23151.0	15.6	1385	202.03	0.70	104.6	1	1
296	441	1	0	22549.3	26594.2	19.3	3328	346.37	0.96	160.1	1	1
297	442	1	0	22603.3	11652.3	10.7	3641	282.29	1.07	127.4	1	1
298	443	1	0	19451.3	6408.2	9.3	5552	318.77	1.00	144.5	1	1
299	443	1	0	10664.6	18324.6	8.7	5985	288.51	1.00	145.6	1	1
300	443	1	0	25261.8	16476.9	9.0	4983	277.59	1.18	134.7	1	1
301	444	1	0	6849.1	16784.6	13.9	3185	290.67	0.93	138.0	1	1
302	446	1	0	11871.2	13304.6	7.4	4664	194.07	1.10	123.4	1	1
303	446	1	0	11045.6	12980.9	7.9	5524	444.92	1.12	122.4	1	1
304	448	1	0	17994.1	19350.3	16.7	3126	250.35	0.74	156.0	1	1
305	448	1	0	787.7	22926.5	11.9	4568	228.42	1.10	157.2	1	1
306	448	1	0	10567.7	18324.7	13.1	4041	264.62	0.82	153.3	1	1
307	449	1	0	4229.5	14724.9	12.5	2303	151.97	1.04	121.9	1	1
308	449	1	0	531.6	22972.9	7.9	5768	192.34	1.00	146.6	1	1
309	450	1	0	4162.9	14893.9	16.3	2562	384.89	0.99	127.0	1	1
310	450	1	0	26316.9	15255.4	12.6	3118	207.61	0.85	137.6	1	1
311	450	1	0	27214.0	20989.8	14.0	3405	226.44	1.23	144.2	1	1
312	452	1	0	964.5	22090.5	16.9	5885	780.28	0.86	170.4	1	1
313	452	1	0	602.0	14578.8	12.8	2288	227.60	0.84	118.8	1	1
314	452	1	0	22428.9	6760.6	12.1	3510	312.94	1.08	132.1	1	1
315	452	1	0	18469.0	8376.0	14.3	2617	278.48	1.03	127.2	1	1
316	452	1	0	11491.0	14009.1	9.7	3692	233.77	0.77	127.1	1	1
317	453	1	0	12164.7	14970.9	22.9	2049	404.26	0.93	133.3	1	1
318	453	1	0	13484.4	13552.3	15.9	1769	174.32	0.97	117.9	1	1
319	453	1	0	10221.4	19657.6	12.8	3488	314.66	0.93	135.2	1	1
320	455	1	0	13085.5	9513.8	21.6	4662	838.43	1.56	164.1	1	1
321	455	1	0	7553.0	14234.8	10.4	5124	364.64	1.03	143.3	1	1
322	456	1	0	11979.6	13471.5	16.6	1720	226.51	1.03	113.8	1	1
323	456	1	0	12640.6	9809.1	14.9	2746	325.74	1.33	126.3	1	1
324	456	1	0	20259.7	29231.8	15.5	2890	278.44	1.11	137.6	1	1
325	457	1	0	4797.5	16200.5	10.1	4449	233.89	1.05	141.6	1	1
326	457	1	0	16224.2	29040.9	11.8	2559	222.77	0.83	119.0	1	1
327	457	1	0	7854.6	13402.4	12.2	2452	180.85	0.95	122.4	1	1
328	458	1	0	7872.0	13410.2	10.6	3895	314.21	1.04	129.2	1	1
329	458	1	0	7985.0	14405.1	9.1	4489	282.56	1.04	130.0	1	1
